nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;sizePron;motVedette;hwd;pronSampa;ipa
3;aʹbăcus;;;;n.;2.0;19;7;abacus;abacus;{ b @ k @ s;æbəkəs
2;ăbăʹft;;;;p.;3.0;19;6;abaft;;;
3;ăbaiʹſănce;F.;;;n.;4.0;19;10;abaisance;;;
3;ābăʹndon;F.;;;v.;5.0;19;8;abandon;abandon;@ b { n d @ n;əbændən
4;ābăʹndŏned;;;;a.;6.0;19;10;abandoned;abandoned;@ b { n d @ n d;əbændənd
2;ăbāsʹe;F.;;;v.;7.0;19;6;abase;;;
3;ăbāʹſ_e_ment;F.;;;n.;8.0;19;12;abasement;;;
2;ăbăʹſh;F.;;;v.;9.0;19;6;abash;abash;@ b { S;əbæʃ
2;ăbāʹte;F.;;;v.;10.0;19;6;abate;abate;@ b eI t;əbeIt
3;ăbāʹt_e_ment;F.;;;n.;11.0;19;12;abatement;abatement;@ b eI t m @ n t;əbeItmənt
2;ăʹbbĕſs;;;;n.;12.0;19;7;abbess;;;
2;ăʹbbey;;;;n.;13.0;19;6;abbey;abbey;{ b i:;æbiː
2;ăʹbbŏt;;;;n.;14.0;19;6;abbot;abbot;{ b @ t;æbət
4;ăbbrĕʹvĭāte;L.;;;v.;15.0;19;11;abbreviate;abbreviate;@ b r\ i: v i: eI t;əbɹiːviːeIt
6;ăbbrevĭāʹtion;L.;;;n.;16.0;19;13;abbreviation;abbreviation;@ b r\ i: v i: eI S @ n;əbɹiːviːeIʃən
3;ăʹbdicāte;L.;;;v.;17.0;19;9;abdicate;abdicate;{ b d @ k eI t;æbdəkeIt
3;ăbdōʹmen;;;;n.;18.0;19;8;abdomen;abdomen;{ b d @U m @ n;æbdoʊmən
2;ăbĕʹt;;;;v.;19.0;19;5;abet;abet;@ b E t;əbɛt
3;ăbĕʹtment;;;;n.;20.0;19;9;abetment;;;
3;ăbĕʹttor;;;;n.;21.0;19;8;abettor;;;
3;ăbeʹyănce;F.;;;n.;22.0;19;9;abeyance;abeyance;@ b eI @ n s;əbeIəns
2;ăbhŏʹr;L.;;;v.;23.0;19;6;abhor;abhor;{ b h O: r\;æbhOːɹ
3;ăbhŏʹrrence;;;;n.;24.0;19;11;abhorrence;abhorrence;@ b h O: r\ @ n s;əbhOːɹəns
2;ābīʹde;;;;v.;25.0;19;6;abide;abide;@ b aI d;əbaId
2;ăʹbject;L.;;;a.;26.0;19;7;abject;abject;{ b dZ E k t;æbdZɛkt
4;abĭʹlĭty;;;;n.;27.0;19;8;ability;ability;@ b I l @ 4 i:;əbɪləɾiː
4;ăbĭntĕʹſtāte;;;;n.;28.0;19;12;abintestate;;;
5;ăbjūrāʹtion;L.;;;n.;29.0;19;11;abjuration;;;
2;ăbjūʹre;L.;;;v.;30.0;19;7;abjure;;;
